Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Sexo;Ambos sexos;Conceptos Demográficos;Tasa de riesgo de pobreza (renta del año anterior a la entrevista);Total Nacional;Total Nacional;Totales de edad;Todas las edades;Cambios de conceptos;Base 2013;2021;21,7
Sexo;Ambos sexos;Conceptos Demográficos;Tasa de riesgo de pobreza (renta del año anterior a la entrevista);Total Nacional;Total Nacional;Totales de edad;Todas las edades;Cambios de conceptos;Base 2013;2020;21,0
Sexo;Ambos sexos;Conceptos Demográficos;Tasa de riesgo de pobreza (renta del año anterior a la entrevista);Total Nacional;Total Nacional;Totales de edad;Todas las edades;Cambios de conceptos;Base 2013;2019;20,7
Sexo;Ambos sexos;Conceptos Demográficos;Tasa de riesgo de pobreza (renta del año anterior a la entrevista);Total Nacional;Total Nacional;Totales de edad;Todas las edades;Cambios de conceptos;Base 2013;2018;21,5
Sexo;Ambos sexos;Conceptos Demográficos;Tasa de riesgo de pobreza (renta del año anterior a la entrevista);Total Nacional;Total Nacional;Totales de edad;Todas las edades;Cambios de conceptos;Base 2013;2017;21,6
Sexo;Ambos sexos;Conceptos Demográficos;Tasa de riesgo de pobreza (renta del año anterior a la entrevista);Total Nacional;Total Nacional;Totales de edad;Todas las edades;Cambios de conceptos;Base 2013;2016;22,3
Sexo;Ambos sexos;Conceptos Demográficos;Tasa de riesgo de pobreza (renta del año anterior a la entrevista);Total Nacional;Total Nacional;Totales de edad;Todas las edades;Cambios de conceptos;Base 2013;2015;22,1
Sexo;Ambos sexos;Conceptos Demográficos;Tasa de riesgo de pobreza (renta del año anterior a la entrevista);Total Nacional;Total Nacional;Totales de edad;Todas las edades;Cambios de conceptos;Base 2013;2014;22,2
Sexo;Ambos sexos;Conceptos Demográficos;Tasa de riesgo de pobreza (renta del año anterior a la entrevista);Total Nacional;Total Nacional;Totales de edad;Todas las edades;Cambios de conceptos;Base 2013;2013;20,4
Sexo;Ambos sexos;Conceptos Demográficos;Tasa de riesgo de pobreza (renta del año anterior a la entrevista);Total Nacional;Total Nacional;Totales de edad;Todas las edades;Cambios de conceptos;Base 2013;2012;20,8
Sexo;Ambos sexos;Conceptos Demográficos;Tasa de riesgo de pobreza (renta del año anterior a la entrevista);Total Nacional;Total Nacional;Totales de edad;Todas las edades;Cambios de conceptos;Base 2013;2011;20,6
Sexo;Ambos sexos;Conceptos Demográficos;Tasa de riesgo de pobreza (renta del año anterior a la entrevista);Total Nacional;Total Nacional;Totales de edad;Todas las edades;Cambios de conceptos;Base 2013;2010;20,7
Sexo;Ambos sexos;Conceptos Demográficos;Tasa de riesgo de pobreza (renta del año anterior a la entrevista);Total Nacional;Total Nacional;Totales de edad;Todas las edades;Cambios de conceptos;Base 2013;2009;20,4
Sexo;Ambos sexos;Conceptos Demográficos;Tasa de riesgo de pobreza (renta del año anterior a la entrevista);Total Nacional;Total Nacional;Totales de edad;Todas las edades;Cambios de conceptos;Base 2013;2008;19,8
